Code;System;Description;Severity;Common Causes;Vehicle Type
P0A83;EV Motor;Hybrid/EV Drive Motor Position Sensor Circuit Low;High;Resolver, wiring;Electric/Hybrid
P0A84;EV Motor;Hybrid/EV Drive Motor Position Sensor Circuit High;High;Resolver, wiring;Electric/Hybrid
P0A8E;EV Motor;Hybrid/EV Drive Motor Phase V Current Low;High;Phase sensor, inverter;Electric/Hybrid
P0A90;EV Motor;Hybrid/EV Drive Motor Phase W Current;High;Phase sensor, inverter, motor;Electric/Hybrid
P0A93;EV Motor;Inverter Cooling System Performance;High;Coolant pump, radiator, hoses;Electric/Hybrid
P0A94;EV Motor;DC/DC Converter Temperature Sensor Circuit;Medium;DC-DC converter temp sensor;Electric/Hybrid
P0A9A;EV Motor;Hybrid/EV Drive Motor A Performance;High;Motor, bearings, alignment;Electric/Hybrid
P0AA6;EV Battery;Hybrid Battery Positive Contactor Circuit Stuck Open;Critical;HV contactor, relay, wiring;Electric/Hybrid
P0AFA;EV Battery;Hybrid/EV Battery Voltage Sensor B Circuit;High;Voltage sensor, BMS;Electric/Hybrid
P0AFB;EV Battery;Hybrid/EV Battery Voltage Sensor B Circuit Range/Performance;High;Voltage sensor, calibration;Electric/Hybrid
P0B16;EV Battery;Hybrid/EV Battery Pack Temperature Sensor A Circuit Low;Medium;Temperature sensor, wiring;Electric/Hybrid
P0B17;EV Battery;Hybrid/EV Battery Pack Temperature Sensor A Circuit High;Medium;Temperature sensor, wiring;Electric/Hybrid
P0B2B;EV Battery;Hybrid/EV Battery C Voltage Low;Critical;Cell voltage low, imbalance;Electric/Hybrid
P0B2C;EV Battery;Hybrid/EV Battery C Voltage High;Critical;Cell voltage high, overcharge;Electric/Hybrid
P0B34;EV Battery;Hybrid/EV Battery Charger Control Circuit Range/Performance;High;Onboard charger, control;Electric/Hybrid
P0B7C;EV Battery;Hybrid/EV Battery System Isolation Fault;Critical;Insulation fault, high voltage leak;Electric/Hybrid
P0BDC;EV Charging;Hybrid/EV Charging System AC Voltage;High;Charging cable, EVSE, power;Electric/Hybrid
P0BDD;EV Charging;Hybrid/EV Charging System AC Current;High;Charging current, EVSE;Electric/Hybrid
P0BDE;EV Charging;Hybrid/EV Charging System Input Voltage Correlation;High;Charging voltage mismatch;Electric/Hybrid
P1A00;EV Motor;Drive Motor A Malfunction;Critical;Traction motor failure;Electric/Hybrid
P1A15;EV Motor;Drive Motor A Temperature Sensor Circuit;High;Motor temp sensor, wiring;Electric/Hybrid
P1A16;EV Motor;Drive Motor A Position Sensor Circuit Intermittent;High;Resolver, encoder noise;Electric/Hybrid
P1AFA;EV Battery;Battery Management System Malfunction;Critical;BMS failure, communication;Electric/Hybrid
=== BODY (B CODES) ===;;;;;
B1000;Body;PCM/BCM Communication Link Fault;High;CAN bus, wiring, modules;All
B1001;Body;Airbag Deployment;Critical;Airbag deployed, reset needed;All
B1213;Body;Driver Airbag Circuit Malfunction;Critical;Airbag, wiring, clockspring;All
B1215;Body;Passenger Airbag Circuit Malfunction;Critical;Airbag, wiring, seat sensor;All
B1317;Body;Battery Voltage Low;Medium;Battery, alternator, wiring;All
B1318;Body;Battery Voltage High;Medium;Alternator, regulator;All
B1342;Body;ECU is Defective;Critical;ECU hardware failure;All
B1565;Body;Anti-Theft Key Code Error;High;Immobilizer, key, ECU;All
B1600;Body;Ignition Key In Warning Circuit Failure;Low;Key switch, wiring;All
B1676;Body;Battery Pack Voltage Out of Range;Critical;HV battery, BMS;Electric/Hybrid
=== CHASSIS (C CODES) ===;;;;;
C0035;ABS;Left Front Wheel Speed Sensor Circuit Malfunction;High;ABS sensor, wiring, tone ring;All
C0040;ABS;Right Front Wheel Speed Sensor Circuit Malfunction;High;ABS sensor, wiring, tone ring;All
C0045;ABS;Left Rear Wheel Speed Sensor Circuit Malfunction;High;ABS sensor, wiring, tone ring;All
C0050;ABS;Right Rear Wheel Speed Sensor Circuit Malfunction;High;ABS sensor, wiring, tone ring;All
C0121;ABS;ABS Valve Circuit Malfunction;High;ABS valve, hydraulic unit;All
C0141;ABS;ABS Motor Circuit Malfunction;High;ABS pump motor, hydraulic unit;All
C1201;ABS;ABS Control System Malfunction;High;ABS ECU, sensors, wiring;All
C1223;ABS;Wheel Speed Signal Missing;High;ABS sensor, wiring, hub bearing;All
C1234;ABS;Yaw Rate Sensor Circuit Malfunction;Medium;Yaw sensor, ESP module;All
C1288;ABS;Lateral Acceleration Sensor Circuit Malfunction;Medium;G-sensor, ESP module;All
=== NETWORK (U CODES) ===;;;;;
U0001;Network;High Speed CAN Communication Bus;High;CAN bus, termination, wiring;All
U0002;Network;High Speed CAN Communication Bus Performance;High;CAN bus noise, interference;All
U0100;Network;Lost Communication With ECM/PCM;Critical;ECM, CAN bus, power supply;All
U0101;Network;Lost Communication With TCM;High;TCM, CAN bus, wiring;All
U0115;Network;Lost Communication With ECM;Critical;ECM, CAN bus, wiring;All
U0121;Network;Lost Communication With ABS Module;High;ABS ECU, CAN bus;All
U0122;Network;Lost Communication With Vehicle Dynamics Control Module;High;ESP module, CAN bus;All
U0123;Network;Lost Communication With Yaw Rate Sensor Module;Medium;Yaw sensor, CAN bus;All
U0126;Network;Lost Communication With Steering Angle Sensor Module;High;Steering sensor, CAN bus;All
U0129;Network;Lost Communication With Brake System Control Module;Critical;Brake ECU, CAN bus;All
U0140;Network;Lost Communication With Body Control Module;Medium;BCM, CAN bus, wiring;All
U0141;Network;Lost Communication With Body Control Module B;Medium;BCM, CAN bus;All
U0146;Network;Lost Communication With Gateway A;High;Gateway module, CAN bus;All
U0151;Network;Lost Communication With Restraint Control Module;High;Airbag ECU, CAN bus;All
U0155;Network;Lost Communication With Instrument Panel Cluster;Medium;Cluster, CAN bus, wiring;All
U0164;Network;Lost Communication With HVAC Control Module;Low;HVAC module, CAN bus;All
U0168;Network;Lost Communication With Vehicle Security Control Module;Medium;Immobilizer, CAN bus;All
U0401;Network;Invalid Data Received From ECM/PCM;High;ECM, software, CAN bus;All
U0402;Network;Invalid Data Received From TCM;High;TCM, software, CAN bus;All
U1000;Network;CAN Communication Link Fault;High;CAN bus, wiring, termination;All
U1001;Network;CAN Communication Link Fault - Bus Off;Critical;CAN bus short, multiple faults;All
U1016;Network;Loss of SDM Serial Data;High;Airbag module communication;All
U1040;Network;Loss of Body Controller Serial Data;Medium;BCM communication;All
U1064;Network;Loss of Cruise Control Serial Data;Low;Cruise control module;All
